Grays Harbor College,1620 Edward P Smith Dr,Aberdeen,WA,"""98520-7599"""
Grayson College,6101 Grayson Drive,Denison,TX,"""75020-8299"""
Great Basin College,1500 College Pky,Elko,NV,"""89801"""
Great Bay Community College,320 Corporate Drive,Portsmouth,NH,"""03801"""
Great Lakes Christian College,6211 W Willow Hwy,Lansing,MI,"""48917-1299"""
Great Lakes Institute of Technology,5100 Peach St,Erie,PA,"""16509-2482"""
Great Lakes Truck Driving School,27740 Royalton Road,Columbia Station,OH,"""44028"""
Great Plains Technology Center,4500 W Lee Blvd,Lawton,OK,"""73505-8399"""
Greater Altoona Career and Technology Center,1500 Fourth Avenue,Altoona,PA,"""16602-3616"""
Greater Cincinnati Center for Montessori Education,1053 Madison Avenue,Covington,KY,"""41011"""
Greater Johnstown Career and Technology Center,445 Schoolhouse Road,Johnstown,PA,"""15904"""
Greater Lawrence Technical School,57 River Road,Andover,MA,"""01810"""
Greater Southern Tier BOCES,459 Philo Road,Elmira,NY,"""14903-1089"""
Greater West Town Training Partnership,2021 W. Fulton Street,Chicago,IL,"""60612"""
Green Country Technology Center,PO Box 1217,Okmulgee,OK,"""74447"""
Green Mountain College,One College Cir,Poultney,VT,"""05764-1199"""
Green River Community College,12401 SE 320th St,Auburn,WA,"""98092-3622"""
Greenfield Community College,One College Dr,Greenfield,MA,"""01301-9739"""
Greensboro College,815 W Market St,Greensboro,NC,"""27401-1875"""
Greenville College,315 E. College Ave,Greenville,IL,"""62246-0159"""
Greenville Technical College,506 S Pleasantburg Dr,Greenville,SC,"""29607-2416"""
Gretna Career College,1415 Whitney Ave,Gretna,LA,"""70053"""
Griffin Technical College,501 Varsity Rd,Griffin,GA,"""30223-2042"""
Griggs International Academy,"12501 Old Columbia Pike, P.O. Box 4437",Silver Spring,MD,"""20914-4437"""
Grinnell College,1121 Park Street,Grinnell,IA,"""50112-1690"""
Grossmont College,8800 Grossmont College Dr,El Cajon,CA,"""92020-1799"""
Grove City College,100 Campus Dr,Grove City,PA,"""16127-2104"""
Guardian College,"2150 E Fairview, Suite 100",Meridian,ID,"""83642"""
Guilford College,5800 W Friendly Ave,Greensboro,NC,"""27410-4108"""
Guilford Technical Community College,601 High Point Rd,Jamestown,NC,"""27282"""
Gulf Coast State College,5230 W Hwy 98,Panama City,FL,"""32401"""
Gulf Coast Trades Center,143 Forest Service Road #233,New Waverly,TX,"""77358"""
Gulfport Job Corps Center,3300 20th Street,Gulfport,MS,"""39501"""
Gupton Jones College of Funeral Service,5141 Snapfinger Woods Dr,Decatur,GA,"""30035-4022"""
Gurnick Academy of Medical Arts - San Mateo,"2121 South El Camino Real, Building C200",San Mateo,CA,"""94403"""
Gustavus Adolphus College,800 West College Avenue,Saint Peter,MN,"""56082-1498"""
Gutenberg College,1883 University Street,Eugene,OR,"""97403"""
Guthrie Job Corps Center,3106 West University,Guthrie,OK,"""73044"""
Gwinnett College,4230 Hwy 29 Ste 11,Lilburn,GA,"""30047-3447"""
Gwinnett College - Sandy Springs,6690 Rosewell Road NE,Sandy Springs,GA,"""30328"""
Gwinnett Technical College,5150 Sugarloaf Parkway,Lawrenceville,GA,"""30043-5702"""
Gwynedd Mercy College,1325 Sumneytown Pike,Gwynedd Valley,PA,"""19437-0901"""
H Councill Trenholm State Technical College,1225 Air Base Blvd,Montgomery,AL,"""36108"""
Hacienda La Puente Unified School District-Adult Education,15959 E Gale Ave,City of Industry,CA,"""91745-0002"""
Hadley School for the Blind,700 Elm Street,Winnetka,IL,"""60093"""
Hagerstown Community College,11400 Robinwood Dr,Hagerstown,MD,"""21742-6590"""
Halifax Community College,100 College Drive,Weldon,NC,"""27890"""
Hallmark College of Aeronautics,8901 Wetmore Rd.,San Antonio,TX,"""78216"""
Hallmark College of Technology,10401 IH 10 West,San Antonio,TX,"""78230-1736"""
Hallmark Institute of Photography,241 Millers Falls Rd,Turners Falls,MA,"""01376-0308"""
Hamilton College,198 College Hill Rd,Clinton,NY,"""13323"""
Hamilton Technical College,1011 E 53rd St,Davenport,IA,"""52807"""
Hamline University,1536 Hewitt Avenue,Saint Paul,MN,"""55104-1284"""
Hampden-Sydney College,"College Road, Box 128",Hampden-Sydney,VA,"""23943-0128"""
Hampshire College,893 West St,Amherst,MA,"""01002-5001"""
Hampton University,100 East Queen Street,Hampton,VA,"""23668-0099"""
Hamrick School,1156 Medina Rd,Medina,OH,"""44256"""
Han University of Traditional Medicine,2856 E. Fort Lowell Road,Tucson,AZ,"""85716"""
Handley and Associates,"5800 Gratiot, Suite 102",Saginaw,MI,"""48603"""
Hands on Therapy,1804 N. Galloway Avenue,Mesquite,TX,"""75149"""
"Hanes & Associates, Inc. Dale Carnegie Training",9296 Waldemar Road,Indianapolis,IN,
Hannibal-LaGrange College,2800 Palmyra Rd,Hannibal,MO,"""63401-1999"""
Hanover College,359 E. LaGrange Road,Hanover,IN,"""47243"""
Harbor Career College,4201 Wilshire Blvd.,Los Angeles,CA,"""90010"""
Harcum College,750 Montgomery Ave,Bryn Mawr,PA,"""19010-3470"""
Hardin-Simmons University,2200 Hickory,Abilene,TX,"""79698"""
Harding University,915 E. Market Ave.,Searcy,AR,"""72149"""
Harford Community College,401 Thomas Run Rd,Bel Air,MD,"""21015-1698"""
Harpers Ferry Job Corps Civilian Conservation Center,146 Buffalo Drive,Harpers Ferry,WV,"""25425"""
Harrington College of Design,200 W. Madison,Chicago,IL,"""60606"""
Harris School of Business - Cherry Hill,"One Cherry Hill, One Mall Drive Ste.700",Cherry Hill,NJ,"""08002"""
Harris School of Business - Dover,"97 Commerce Way, Suite 105",Dover,DE,"""19904"""
Harris School of Business - Voorhees,401 Whitehorse Drive,Voorhees,NJ,"""08043"""
Harris School of Business fka The Harris School,1413 Foulk Road,Wilmington,DE,"""19803"""
Harris-Stowe State University,3026 Laclede Ave,St. Louis,MO,"""63103"""
Harrisburg Area Community College - Harrisburg,One HACC Drive,Harrisburg,PA,"""17110-2999"""
Harrisburg University of Science and Technology,326 Market Street,Harrisburg,PA,"""17101"""
Harrison Career Institute - Baltimore,1040 Park Avenue,Baltimore,MD,"""21201"""
Harrison Career Institute - Reading,"645 Penn Street, 3rd Floor",Reading,PA,"""19601"""
Harrison Career Institute - South Orange,525 South Orange Ave,South Orange,NJ,"""07079-0000"""
"Harrison Career Institute - Washington, DC","1627 K St., NW, 9th Floor",Washington,DC,"""20006"""
Harrison College - Indianapolis,550 East Washington Street,Indianapolis,IN,"""46204"""
Harrison College - Muncie,411 West  Riggin Road,Muncie,IN,"""47303"""
Harrison Middleton University,1105 East Broadway,Tempe,AZ,"""85282"""
Hartford Conservatory,834 Asylum Ave,Hartford,CT,"""06105-2891"""
Hartford Seminary,77 Sherman St,Hartford,CT,"""06105-2260"""
Hartnell College,156 Homestead Ave,Salinas,CA,"""93901"""
Hartwick College,One Hartwick Drive,Oneonta,NY,"""13820-4020"""
Harvard University,Massachusetts Hall,Cambridge,MA,"""02138"""
Harvey Mudd College,301 Platt Blvd.,Claremont,CA,"""91711"""
Haskell Indian Nations University,155 Indian Ave,Lawrence,KS,"""66046-4800"""
Hastings College,710 N Turner Ave,Hastings,NE,"""68901"""
Haverford College,370 Lancaster Ave,Haverford,PA,"""19041-1392"""
Hawaii College of Oriental Medicine,"180 Kinoole Street, Suite 301",Hilo,HI,"""96720"""
Hawaii Community College,200 W Kawili St,Hilo,HI,"""96720-4091"""
Hawaii Medical College,1221 Kapiolani Blvd. PH #35,Honolulu,HI,"""96814"""
Hawaii Pacific University,1164 Bishop St.,Honolulu,HI,"""96813"""
Hawaii Tokai International College,2241 Kapiolani Blvd.,Honolulu,HI,"""96826"""
Hawkeye Community College,"1501 East Orange Road, P.O. Box 8015",Waterloo,IA,"""50704"""
Haywood Community College,185 Freedlander Drive,Clyde,NC,"""28721-9901"""
Hazard Community and Technical College,One Community College Dr.,Hazard,KY,"""41701-2402"""
Hazelden Graduate School of Addiction Studies,PO Box 11,Center City,MN,"""55012-0011"""
HDS Truck Driving Institute,6251 S. Wilmot Road,Tucson,AZ,"""85706"""
"Headlines Academy, Inc.","333 Omaha Street, Suite 6 & 7",Rapid City,SD,"""57701"""
Heald College - Central Administrative Office,"1340 Treat Blvd., Suite 325",Walnut Creek,CA,"""94597"""
Healing Arts Center,2601 South Big Bend,St. Louis,MO,"""63143"""
Healing Arts Institute,340 Three Meadows Drive,Perrysburg,OH,"""43551"""
Healing Arts Institute - Fort Collins,4007 Automation Way,Fort Collins,CO,"""80525"""
Healing Hands School of Holistic Health,"125 W Mission, Suite 212",Escondido,CA,"""92025"""
Healing Oasis Wellness Center,2555 Wisconsin Street,Sturtevant,WI,"""53177"""
Healing Touch Career College,"4700 Hardy Street, Suite H-1",Hattiesburg,MS,"""39402"""
"Health and Style Institute, LLC",1114 Eastchester Drive,Highpoint,NC,"""27265"""
Health Career College,"115 Crescent Drive, Space M1",Pleasant Hill,CA,"""94523"""
"Health Career Institute - Lake Worth, Florida","1926 10th Ave North, Suite 405",Lake Worth,FL,"""33461"""
Health Careers Center of Mercer County Technical Schools,1070 Klockner Road,Trenton,NJ,"""08619"""
"Health Opportunity Technical Center, Inc.","18441 NW 2nd Avenue, Suite 300",Miami,FL,"""33169"""
Health Works Institute,111 S Grand Ave Annex 3,Bozeman,MT,"""59715"""
Healthcare Preparatory Institute,"5831 West Craig Road, Suites 102-103",Las Vegas,NV,"""89130"""
Healthcare Training Institute - Kenner,322 Williams Blvd.,Kenner,LA,"""70062"""
Healthcare Training Institute - Union,1969 Morris Ave.,Union,NJ,"""07083"""
Heartland Community College,1500 West Raab Road,Normal,IL,"""61761-9446"""
Hebrew College,160 Herrick Road,Newton Centre,MA,"""02459-2237"""
Hebrew Theological College,7135 N Carpenter Rd,Skokie,IL,"""60077"""
Hebrew Union College - Jewish Institute of Religion - New York,One West 4th Street,New York,NY,"""10012-1186"""
Heidelberg University,310 E Market St,Tiffin,OH,"""44883-2462"""
Helene Fuld College of Nursing,26 East 120th Street,New York,NY,"""10035"""
Hellenic College,50 Goddard Ave,Brookline,MA,"""02445-7496"""
"Helms College, A Subsidiary of Goodwill Industries",5171 Eisenhower Parkway,Macon,GA,"""31206"""
Henderson Community College,2660 S Green St,Henderson,KY,"""42420-4699"""
Henderson State University,1100 Henderson St,Arkadelphia,AR,"""71999-0001"""
Hendrix College,1600 Washington Ave,Conway,AR,"""72032-3080"""
Henley-Putnam University,"2804 Mission College Boulevard, Suie 240",Santa Clara,CA,"""95054"""
Hennepin Technical College,9000 Brooklyn Blvd,Brooklyn Park,MN,"""55445"""
Henry Caro Noncommissioned Officer Academy,Building 1710 Pecom Row,Fort Benning,GA,"""31905-3022"""
Henry Ford Community College,5101 Evergreen Rd.,Dearborn,MI,"""48128"""
Heritage Bible College,1747 Bud Hawkins Road,Dunn,NC,"""28334"""
Heritage Christian University,3625 Helton Dr,Florence,AL,"""35630-9977"""
Heritage College - Denver,12 Lakeside Lane,Denver,CO,"""80212"""
Heritage College - Oklahoma City,7202 S. I-35 Service Road,Oklahoma City,OK,"""73149"""
Heritage Institute,350 S Washington St,Falls Church,VA,"""22046-4202"""
Heritage Institute - Fort Myers,6630 Orion Drive,Fort Myers,FL,"""33912"""
Heritage Institute - Jacksonville,"4130 Salibury Rd N, Suite 1100",Jacksonville,FL,"""32216"""
Heritage University,3240 Fort Rd,Toppenish,WA,"""98948"""
Herkimer County Community College,100 Reservoir Road,Herkimer,NY,"""13350-1598"""
Herzing University,525 N. 6th Street,Milwaukee,WI,"""53203"""
Hesser College,3 Sundial Ave,Manchester,NH,"""03103-9969"""
Hesston College,301 South Main,Hesston,KS,"""67062-2093"""
Hibbing Community College,1515 E. 25th St.,Hibbing,MN,"""55746"""
Hickey College,"940 West Port Plaza, Ste 101",Saint Louis,MO,"""63146"""
High Desert Medical College,"701 W. Avenue K, Suite 123",Lancaster,CA,"""93534"""
High Plains Technology Center,3921 34th St,Woodward,OK,"""73801"""
High Point University,833 Montlieu Ave,High Point,NC,"""27262-3598"""
Highland Community College,2998 W Pearl City Rd,Freeport,IL,"""61032-9341"""
Highline Community College,2400 S 240th St,Des Moines,WA,"""98198-9800"""
Hilbert College,5200 S Park Ave,Hamburg,NY,"""14075-1597"""
Hill College,112 Lamar,Hillsboro,TX,"""76645"""
Hillsborough Community College,39 Columbia Drive,Tampa,FL,"""33606"""
Hillsdale College,33 E. College Street,Hillsdale,MI,"""49242"""
Hillsdale Free Will Baptist College,3701 S I-35 Service Road,Moore,OK,"""73160"""
Hillyard Technical Center,3434 Faraon St,Saint Joseph,MO,"""64506"""
Hinds Community College,501 E Main St,Raymond,MS,"""39154"""
Hiram College,P. O. Box 67,Hiram,OH,"""44234"""
Hiwassee College,225 Hiwassee College Drive,Madisonville,TN,"""37354-4001"""
Hobart & William Smith Colleges,337 Pulteney Street,Geneva,NY,"""14456"""
Hobart Institute of Welding Technology,400 Trade Square East,Troy,OH,"""45373-2400"""
Hobe Sound Bible College,11298 SE Gomez Avenue,Hobe Sound,FL,"""33475"""
Hocking College,3301 Hocking Pky,Nelsonville,OH,"""45764"""
Hodges University,2655 Northbrooke Drive,Naples,FL,"""34119-7932"""
Hofstra University,100 Hofstra University,Hempstead,NY,"""11549"""
Hollins University,7916 Williamson Rd NW,Roanoke,VA,"""24020"""
Hollywood College,"3540 Wilshire Blvd, #604",Los Angeles,CA,"""90010"""
Holmes Community College,#1 Hill St,Goodman,MS,"""39079"""
Holmes Institute,573 Park Point Drive,Golden,CO,"""80401"""
Holy Apostles College and Seminary,33 Prospect Hill Rd,Cromwell,CT,"""06416-2005"""
Holy Cross College,54515 State Road 933 North,Notre Dame,IN,"""46556-0308"""
Holy Family University,9801 Frankford Avenue,Philadelphia,PA,"""19114-2009"""
Holy Names University,3500 Mountain Blvd,Oakland,CA,"""94619-1699"""
Holy Trinity Orthodox Seminary,Robert Road and Route 167,Jordanville,NY,"""13361"""
Holyoke Community College,303 Homestead Ave,Holyoke,MA,"""01040"""
"Homestead Schools, Inc.","23800 Hawthorne Blvd., Suite 200",Torrance,CA,"""90505"""
Hondros College,4140 Executive Parkway,Westerville,OH,"""43081"""
Honolulu Community College,874 Dillingham Blvd,Honolulu,HI,"""96817-4598"""
Hood College,401 Rosemont Ave,Frederick,MD,"""21701"""
Hood Theological Seminary,1810 Lutheran Synod Drive,Salisbury,NC,"""28144"""
Hope College,141 E 12th St,Holland,MI,"""49423"""
Hope International University,2500 E Nutwood Ave,Fullerton,CA,"""92831-3199"""
Hope Montessori Educational Institute,1701 Feise Road,Lake St. Louis,MO,"""63368"""
Hopkinsville Community College,720 North Dr,Hopkinsville,KY,"""42241-2100"""
Horizon University,"10625 Scripps Ranch Boulevard, Suite F",San Diego,CA,"""92131"""
Horry-Georgetown Technical College,2050 Highway 501 East,Conway,SC,"""29526"""
Hostos Community College of the City University of New York,500 Grand Concourse,Bronx,NY,"""10451"""
Houghton College,1 Willard Ave,Houghton,NY,"""14744"""
Housatonic Community College,900 Lafayette Blvd,Bridgeport,CT,"""06604-4704"""
House of Tutors Learning Centers USA,2400 Pearl Street,Austin,TX,"""78705-4796"""
Houston Baptist University,7502 Fondren Rd,Houston,TX,"""77074-3298"""
Houston Community College System,3100 Main Street,Houston,TX,"""77266-7517"""
Houston Graduate School of Theology,4300-C West Bellfort,Houston,TX,"""77035"""
Houston Montessori Center(AMS),"7807 Long Point Road, #100",Houston,TX,"""77055"""
Houston Training Schools,701 Shotwell,Houston,TX,"""77020"""
Howard College,1001 Birdwell Lane,Big Spring,TX,"""79720"""
Howard Community College,10901 Little Patuxent Pkwy,Columbia,MD,"""21044-3197"""
Howard Payne University,1000 Fisk Ave,Brownwood,TX,"""76801-2794"""
Howard University,2400 Sixth St NW,Washington,DC,"""20059-0001"""
"Howard, Mohorn & Associates Dale Carnegie Training","#3 Office Park Drive, Suite 104",Little Rock,AR,"""72211"""
Hudson County Community College,70 Sip Avenue,Jersey City,NJ,"""07306"""
Hudson Valley Community College,80 Vandenburgh Ave,Troy,NY,"""12180"""
Hult International Business School,One Education Street,Cambridge,MA,"""02141"""
Humboldt State University,1 Harpst Street,Arcata,CA,"""95521-8299"""
HUMINT Training - Joint Center of Excellence,"821 Irwin Street, Matlack Hall (Building 80122)",Fort Huachuca,AZ,"""85613"""
Humphreys College - Stockton,6650 Inglewood Avenue,Stockton,CA,"""95207-3896"""
Hunter Business School,3601 Hempstead Turnpike,Levittown,NY,"""11756-1375"""
Hunter College of the City University of New York,695 Park Ave,New York,NY,"""10021"""
Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,"""36106-2148"""
Huntington College of Health Sciences,"1204 Kenesaw Avenue,Suite D",Knoxville,TN,"""37919-7736"""
Huntington Junior College,900 Fifth Ave,Huntington,WV,"""25701"""
Huntington University,2303 College Ave,Huntington,IN,"""46750"""
Huntsville Bible College,904 Oakwood Ave NW,Huntsville,AL,"""35811"""
Hussian School of Art,111 Independence Mall East,Philadelphia,PA,"""19106"""
Husson University,One College Circle,Bangor,ME,"""04401-2999"""
Huston-Tillotson University,900 Chicon St,Austin,TX,"""78702-2795"""
Hutchinson Community College,1300 N Plum St,Hutchinson,KS,"""67501"""
HVAC Technical Institute,4532 South Kolin Avenue,Chicago,IL,"""60632"""
Hypnosis Motivation Institute,18607 Ventura Blvd Ste 310,Tarzana,CA,"""91356-4159"""
"I'Mproving, LLC - Dale Carnegie Training","2101 Nuuana Avenue, #704",Honolulu,HI,"""96817"""
IBMC College - Fort Collins,3842 South Mason Street,Fort Collins,CO,"""80525"""
ICC Technical Institute,3333 Fannin Ste #203,Houston,TX,"""77004"""
ICDC College,5422 Sunset Blvd.,Los Angeles,CA,"""90027"""
ICDC College - Huntington Park,6812 Pacific Boulevard,Huntington Park,CA,"""90255"""
ICDC College - Lawndale,4415 Redondo Beach Blvd.,Lawndale,CA,"""90260"""
ICDC College - Van Nuys,14434 Sherman Way,Van Nuys,CA,"""91405"""
Idaho State University,921 S 7th Ave,Pocatello,ID,"""83209"""
IGlobal University,7700 Little River Turnpike Suite #600,Annandale,VA,"""22003"""
IITR Truck Driving School,15828 SE 114th Street,Clackamas,OR,"""97015"""
IITR Truck Driving School - Clackamas,13605 SE Highway 212,Clackamas,OR,"""97015"""
Iliff School of Theology,2201 S University Blvd,Denver,CO,"""80210-4798"""
Ilisagvik College,Narl Facility,Barrow,AK,"""99723"""
