Institute for Advanced Montessori Studies (AMS)|MD
Institute for Business and Technology|CA
Institute for Clinical Social Work|IL
Institute for Doctoral Studies in the Visual Arts|ME
Institute for Guided Studies (MEPI)|SC
Institute for Media and Entertainment|NY
Institute of Advanced Medical Esthetics|VA
Institute of Allied Medical Professions - Delray Beach|FL
Institute of Allied Medical Professions - Stamford|CT
Institute of American Indian and Alaska Native Culture and Arts Development|NM
Institute of Audio Research|NY
Institute of Clinical Acupuncture & Oriental Medicine|HI
Institute of Design and Construction|NY
Institute of Health Sciences|MD
Institute of Intensive English|HI
Institute of Logistical Management|NJ
Institute of Medical Careers|PA
Institute of Paper Science and Technology|GA
Institute of Production and Recording|MN
Institute of Professional Careers|NV
Institute of Taoist Education & Acupuncture|CO
Institute of Technology - Redding|CA
Institute of Technology - Salem|OR
Institute of Technology Inc|CA
Institute of Transpersonal Psychology|CA
Institute of Ultrasound Diagnostics|AL
Instituto de Banca y Comercio -  Aguadilla|PR
Instituto de Banca y Comercio - Hato Rey|PR
Instituto de Banca y Comercio - San Juan|PR
Instituto de Educacion Tecnica Ocupacional La Reine|PR
Instituto Educativo Premier|PR
Instituto Irma Valentin - Caguas|PR
Instituto Nueva Escuela|PR
Instituto Pre-Vocacional e Indust de Puerto Rico|PR
Integrity College of Health|CA
IntelliTec College - Colorado Springs|CO
IntelliTec College - Grand Junction|CO
IntelliTec College - Pueblo|CO
IntelliTec Medical Institute - Colorado Springs|CO
Inter American University of Puerto Rico - Aguadilla|PR
Inter American University of Puerto Rico - Arecibo|PR
Inter American University of Puerto Rico - Barranquitas|PR
Inter American University of Puerto Rico - Bayamon|PR
Inter American University of Puerto Rico - Fajardo|PR
Inter American University of Puerto Rico - Guayama|PR
Inter American University of Puerto Rico - Metropolitan Campus|PR
Inter American University of Puerto Rico - Ponce|PR
Inter American University of Puerto Rico - San German|PR
Inter American University of Puerto Rico - School of Law|PR
Inter American University of Puerto Rico - School of Optometry|PR
Interactive College of Technology|GA
Interactive Learning Systems|TX
Inter-American Adventist Theological Seminary|FL
Inter-American Air Forces Academy|TX
Inter-American Institute for Social Development|DC
InterAmerican Technical Institute|FL
Intercoast Colleges|CA
Interdenominational Theological Center|GA
Interface College|WA
Interior Designers Institute|CA
International Academy|FL
International Academy of Design and Technology|WV
International Academy of Design and Technology - Chicago|IL
International Academy of Design and Technology - Tampa|FL
International Academy of Style|NV
International Air and Hospitality Academy|WA
International Baptist College|AZ
International Business College - El Paso|TX
International Business College - Fort Wayne|IN
International Business College - Indianapolis|IN
International Business School--MCKINNEY|TX
International Business School--MIDLAND|TX
INTERNATIONAL BUSINESS SCHOOL-SHERMAN CAMPUS|TX
International Center for American English|CA
International College of Broadcasting|OH
International House New York|NY
International Import-Export Institute|AZ
International Institute for Restorative Practices|PA
International Institute of the Americas|AZ
International Junior College Ponce College of Tech|PR
International Language Institute of Massachusetts, Inc.|MA
International Polytechnic Institute|CA
International Professional School of Bodywork|CA
International Reformed University and Seminary|CA
International School of Skin and Nailcare|GA
International Schools|NM
International Sports Sciences Association|CA
International Technical College|PR
International Technological University|CA
International Theological Seminary|CA
International Training Careers|FL
International Union of Painters and Allied Trades, District Council 21|PA
International Yacht Restoration School|RI
INTRAX International Institute|CA
Inver Hills Community College|MN
Iona College|NY
Iowa Central Community College|IA
Iowa Health - Des Moines School of Radiologic Technology|IA
Iowa Lakes Community College|IA
Iowa State University|IA
Iowa Valley Community College - Marshalltown Community College|IA
Iowa Wesleyan College|IA
Iowa Western Community College|IA
Irell and Manella Graduate School of Biological Sciences|CA
Irene's Myomassology Institute|MI
Irish American University|DE
Irvine Valley College|CA
Island Drafting and Technical Institute|NY
Isothermal Community College|NC
Itasca Community College|MN
Itawamba Community College|MS
Ithaca College|NY
ITI Technical College|LA
ITT Technical Institute - Indianapolis|IN
ITT Technical Institute - Spokane Valley|WA
IVAEM College|PR
Iverson Institute|GA
Ivy Christian College|VA
Ivy Tech Community College of Indiana|IN
J F Ingram State Technical College|AL
J Sargeant Reynolds Community College|VA
J. R. Rodgers & Associates Dale Carnegie Systems|NV
J.F. Drake State Community and Technical College|AL
J.J. White & Associates Dale Carnegie Training|VA
J.R. Rodgers & Associates, Inc.|PA
Jackson College|MS
Jackson Community College|MI
Jackson State Community College|TN
Jackson State University|MS
Jacksonville College-Main Campus|TX
Jacksonville State University|AL
Jacksonville University|FL
Jacobs Creek Job Corps Civilian Conservation Center|TN
James A Rhodes State College|OH
James H Faulkner State Community College|AL
James Madison University|VA
James Rumsey Technical Institute|WV
James Sprunt Community College|NC
Jamestown Business College|NY
Jamestown Community College|NY
Jarvis Christian College|TX
Jay's Technical Institute|TX
Jean Madeline Aveda Institute|PA
Jean's Nails, Etc.|UT
Jefferson College|MO
Jefferson College of Health Sciences|VA
Jefferson Community and Technical College|KY
Jefferson Community College|NY
Jefferson Davis Community College|AL
Jefferson Regional Medical Center School of Nursing|AR
Jefferson State Community College|AL
Jefferson Technical College|KY
JEM College|CA
Jerry Wilson & Associates, Inc. Dale Carnegie Training|AR
Jewish Theological Seminary of America|NY
JFK Medical Center Muhlenberg Harold B. and Dorothy A. Snyder School|NJ
Job Ready Training|TX
Joe Kubert School of Cartoon and Graphic Art|NJ
Joffrey Ballet School - American Ballet Center|NY
John A Gupton College|TN
John A Logan College|IL
John Brown University|AR
John C Calhoun State Community College|AL
John Carroll University|OH
John F Kennedy University|CA
John Hancock University|IL
John Jay College of Criminal Justice of the City University of New York|NY
John Jay Kenner Academy|LA
John M. Jennings & Associates Dale Carnegie Training|TX
John Marshall Law School - Atlanta|GA
John Paul the Great Catholic University|CA
John Tyler Community College|VA
John Wood Community College|IL
John Zink Institute|OK
Johns Hopkins University|MD
Johnson & Wales University|RI
Johnson & Wales University - Charlotte|NC
Johnson & Wales University - Denver|CO
Johnson & Wales University - North Miami|FL
Johnson C Smith University|NC
Johnson College|PA
Johnson County Community College|KS
Johnson State College|VT
Johnson University|TN
Johnston Community College|NC
Joint Counterintelligence Training Academy|VA
Joint Intelligence Training Academy Pacific, Joint Intelligence Operations Center|HI
Joint Intelligence Training Activity, Pacific|CA
Joint Military Attache School (JMAS)|DC
Joint Special Operations University|FL
Joliet Junior College|IL
Jones College - Jacksonville|FL
Jones County Junior College|MS
Jones International University|CO
Jose Maria Vargas University|FL
Joseph P. Keefe Technical School|MA
J'Renee Career Facilitation, Inc.|IL
Judson College|AL
Judson University|IL
Jung Tao School of Classical Chinese Medicine|NC
Juniata College|PA
JZ Trend Academy Paul Mitchell Partner School|ND
Kalamazoo College|MI
Kalamazoo Valley Community College|MI
Kanawha Valley Community and Technical College|WV
Kankakee Community College|IL
Kansas City Art Institute|MO
Kansas City Bible College & School|KS
Kansas City Kansas Community College|KS
Kansas City University of Medicine and Biosciences|MO
Kansas State University|KS
Kansas Wesleyan University|KS
Kapiolani Community College|HI
Kaplan Career Institute|PA
Kaplan Career Institute - Boston|MA
Kaplan Career Institute - Brooklyn|OH
Kaplan Career Institute - Charlestown|MA
Kaplan Career Institute - Harrisburg|PA
Kaplan Career Institute - Nashville|TN
Kaplan College - Clovis|CA
Kaplan College - Columbus|OH
Kaplan College - Corpus Christi|TX
Kaplan College - Dallas|TX
Kaplan College - Dayton|OH
Kaplan College - El Paso|TX
Kaplan College - Fort Worth|TX
Kaplan College - Hammond|IN
Kaplan College - Indianapolis|IN
Kaplan College - Las Vegas|NV
Kaplan College - McAllen|TX
Kaplan College - Modesto Campus|CA
Kaplan College - North Hollywood|CA
Kaplan College - Phoenix|AZ
Kaplan College - Riverside|CA
Kaplan College - Sacramento|CA
Kaplan College - San Antonio|TX
Kaplan College - San Diego|CA
Kaplan College - Seattle Campus|WA
Kaplan College - Stockton|CA
Kaplan College - Thornton|CO
Kaplan College - Vista|CA
Kaplan International Centers|CA
Kaplan Test Prep|NY
Kaplan University|IA
Kaskaskia College|IL
Katharine Gibbs School|NJ
Kauai Community College|HI
Kaw Area Technical School|KS
KD College Conservatory of Film and Dramatic Arts|TX
Kean University|NJ
Keck Graduate Institute|CA
Keene State College|NH
Kehilath Yakov Rabbinical Seminary|NY
Keiser Career College - Greenacres|FL
Keiser Career College - Miami Lakes|FL
Keiser Career College - New Port Richey|FL
Keiser Career College - St. Petersburg|FL
Keiser Career Institute - Jacksonville|FL
Keiser University|FL
Kellogg Community College|MI
Ken Roberts Corporation Dale Carnegie Training|FL
Kendall College|IL
Kennebec Valley Community College|ME
Kennesaw State University|GA
Kennett Career and Technology Center|MO
Kenrick-Glennon Seminary|MO
Kent State University|OH
Kentucky Christian University|KY
Kentucky Mountain Bible College|KY
Kentucky State University|KY
Kentucky Wesleyan College|KY
Kenyon College|OH
Kettering College of Medical Arts|OH
Kettering University|MI
Keuka College|NY
Keweenaw Bay Ojibwa Community College|MI
Key College|FL
Keystone College|PA
Keystone Technical Institute|PA
Khalsa Montessori Teacher Education Program|AZ
Kiamichi Technology Center - Atoka|OK
Kiamichi Technology Center - Durant|OK
Kiamichi Technology Center - Hugo|OK
Kiamichi Technology Center - Idabel|OK
Kiamichi Technology Center - McAlester|OK
Kiamichi Technology Center - Poteau|OK
Kiamichi Technology Center - Spiro|OK
Kiamichi Technology Center - Stigler|OK
Kiamichi Technology Center - Talihina|OK
Kilgore College|TX
Kilian Community College|SD
King University|TN
King's College|NC
King's College|PA
Kingsborough Community College of the City University of New York|NY
Kirksville Area Technical Center|MO
Kirkwood Community College|IA
Kirtland Community College|MI
Kishwaukee College|IL
Klamath Community College|OR
Knowledge Systems Institute|IL
Knox College|IL
Knox Theological Seminary|FL
Kohler Academy|AZ
Konocti College of Holistic Studies|CA
Kussad Institute of Court Reporting|TX
Kutztown University of Pennsylvania|PA
Kuyper College|MI
L.E. Fletcher Technical Community College|LA
LA College International|CA
La' James International College|IA
La' James International College|IL
La Roche College|PA
La Salle University|PA
La Sierra University|CA
Labette Community College|KS
Lac Courte Oreilles Ojibwa Community College|WI
L'Academie de Cuisine|MD
Lackawanna College|PA
Lado International College|DC
Lafayette College|PA
LaGrange College|GA
LaGuardia Community College of the City University of New York|NY
Laguna College of Art and Design|CA
La'James International College|NE
